"ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Diarrhoea/Dysentery - Person - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Diarrhoea/Dysentery - Male - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Diarrhoea/Dysentery - Female - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Acute Respiratory Infection (ARI) - Person - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Acute Respiratory Infection (ARI) - Male - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Acute Respiratory Infection (ARI) - Female - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Fever (All Types) - Person - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Fever (All Types) - Male - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Fever (All Types) - Female - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Any type of Acute Illness - Person - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Any type of Acute Illness - Male - Urban","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Any type of Acute Illness - Female - Urban","CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness (Per 100,000 Population) - Person - Urban","CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness (Per 100,000 Population) - Male - Urban","CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness (Per 100,000 Population) - Female - Urban",CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness and sought Medical Care (%) - Person - Urban,CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness and sought Medical Care (%) - Male - Urban,CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness and sought Medical Care (%) - Female - Urban,"CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Diabetes - Person - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Diabetes - Male - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Diabetes - Female - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Hypertension - Person - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Hypertension - Male - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Hypertension - Female - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Tuberculosis (TB) - Person - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Tuberculosis (TB) - Male - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Tuberculosis (TB) - Female - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Asthma / Chronic Respiratory Disease - Person - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Asthma / Chronic Respiratory Disease - Male - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Asthma / Chronic Respiratory Disease - Female - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Arthritis - Person - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Arthritis - Male - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Arthritis - Female - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Any kind of Chronic Illness - Person - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Any kind of Chronic Illness - Male - Urban","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Any kind of Chronic Illness - Female - Urban",CHILDHOOD DISEASES - Children suffering from Diarrhoea (%) - Urban,CHILDHOOD DISEASES - Children suffering from Diarrhoea who received HAF/ORS/ORT (%) - Urban,CHILDHOOD DISEASES - Children suffering from Acute Respiratory Infection (%) - Urban,CHILDHOOD DISEASES - Children suffering from Acute Respiratory Infection who sought treatment (%) - Urban,CHILDHOOD DISEASES - Children suffering from Fever (%) - Urban,CHILDHOOD DISEASES - Children suffering from Fever who sought treatment (%) - Urban,MORTALITY - Infant Mortality Rate (IMR) - Urban - Person,MORTALITY - Infant Mortality Rate (IMR) - Urban - Male,MORTALITY - Infant Mortality Rate (IMR) - Urban - Female,MORTALITY - Neo-natal Mortality Rate - Urban,MORTALITY - Post Neo-natal Mortality Rate - Urban,MORTALITY - Under Five Mortality Rate (U5MR) - Urban - Person,MORTALITY - Under Five Mortality Rate (U5MR) - Urban - Male,MORTALITY - Under Five Mortality Rate (U5MR) - Urban - Female,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Infant Mortality Rate - Urban - Lower Limit,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Infant Mortality Rate - Urban - Upper Limit,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Under Five Mortality Rate (U5MR) - Urban - Lower Limit,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Under Five Mortality Rate (U5MR) - Urban - Upper Limit
913.16,701.75,1152.62,1602.68,1263.16,1987.28,7808.42,7719.3,7909.38,10398.81,9754.39,11128.78,6149.83,5964.91,6359.3,94.8,94.7,95.0,1267.24,1578.95,914.15,1024.97,1052.63,993.64,55.91,105.26,0.0,447.26,421.05,476.95,894.52,561.4,1271.86,5609.39,5473.68,5763.12,0.0,0.0,0.0,0.0,10.8,100.0,46.58,17.05,82.19,27.95,18.63,57.0,32.0,87.0,33.18,59.99,32.0,82.0
551.46,678.66,403.6,1645.88,1404.67,1926.25,1561.04,1373.11,1779.49,4021.38,3708.96,4384.52,3189.96,3125.0,3265.46,94.9,97.5,92.1,432.68,441.92,421.94,364.81,284.09,458.63,203.61,252.53,146.76,551.45,473.48,642.08,602.36,568.18,642.08,3393.57,3140.78,3687.4,9.7,100.0,7.0,100.0,8.6,93.8,65.1,68.03,61.78,36.17,28.93,84.0,81.0,88.0,35.81,94.39,61.0,107.0
410.81,489.8,326.32,16515.21,15673.68,17415.2,3137.06,2778.22,3520.82,20229.06,19102.3,21434.09,14963.28,12140.68,17981.97,94.56,96.23,93.36,385.91,441.63,326.32,983.44,642.36,1348.22,311.22,353.3,266.21,1286.36,1445.32,1116.36,5195.24,3589.21,6912.84,14954.98,12140.68,17964.79,8.51,90.7,43.76,95.02,31.49,98.11,73.25,71.69,69.31,42.04,31.21,89.0,81.0,98.0,55.09,91.4,75.0,103.0
329.1,332.23,326.04,7052.19,6312.29,7778.3,1622.0,1613.67,1630.18,9214.86,8448.03,9967.4,22849.08,20028.48,25617.14,99.59,99.53,99.64,963.8,1186.52,745.23,634.7,332.23,931.53,446.64,616.99,279.46,540.67,854.3,232.88,2444.76,1518.75,3353.52,15115.19,13763.64,16441.55,6.56,100.0,16.39,100.0,22.95,100.0,,,,,,,,,,,,
315.0,299.0,332.0,3851.0,3604.0,4121.0,2274.0,2072.0,2495.0,6993.0,6489.0,7541.0,10844.0,9655.0,12137.0,89.9,90.5,89.3,1970.0,2268.0,1646.0,1916.0,1815.0,2025.0,192.0,200.0,183.0,524.0,487.0,565.0,1854.0,1212.0,2553.0,9858.0,8973.0,10821.0,8.4,83.9,23.2,94.3,19.8,93.5,22.0,21.0,23.0,14.0,8.0,29.0,27.0,31.0,19.0,24.0,27.0,31.0
122.41,146.16,98.43,1028.28,730.82,1328.74,342.76,341.05,344.49,1652.59,1339.83,1968.5,9083.12,6918.39,11269.69,90.7,94.01,88.65,1309.83,1242.39,1377.95,2313.62,2095.01,2534.45,73.45,48.72,98.43,293.79,316.69,270.67,2252.42,1023.14,3494.09,8813.81,6626.07,11023.62,0.0,0.0,2.38,100.0,3.57,100.0,,,,,,,,,,,,
377.05,368.76,386.29,1301.99,1184.49,1433.02,6739.72,6168.29,7376.95,8589.61,7844.45,9420.56,6286.08,5598.39,7052.96,74.3,77.4,71.6,447.74,581.07,299.07,830.68,525.2,1171.34,159.07,134.09,186.92,494.87,424.63,573.21,1160.6,826.91,1532.71,5137.27,4559.17,5781.93,0.0,0.0,12.7,90.3,13.5,97.0,54.12,53.48,54.84,42.96,11.17,70.0,62.0,79.0,38.19,70.06,56.0,85.0
53.29,78.86,25.61,520.56,559.89,477.98,1623.15,1458.88,1800.96,2352.75,2271.11,2441.11,4976.02,4755.15,5215.09,92.7,93.4,92.0,413.99,457.38,367.02,1205.07,1048.81,1374.19,143.46,165.6,119.49,487.76,536.24,435.3,955.04,733.38,1194.95,4607.12,4400.28,4831.0,10.7,97.5,14.9,100.0,12.0,95.6,45.59,43.13,48.54,29.41,16.18,61.0,56.0,67.0,28.88,62.29,49.0,74.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,24.0,47.0,27.0,7.0,34.0,24.0,47.0,18.0,50.0,5.0,64.0
1122.96,819.67,1443.42,308.82,382.51,230.95,898.37,546.45,1270.21,2554.74,1748.63,3406.47,6569.34,6229.51,6928.41,100.0,100.0,100.0,364.96,327.87,404.16,533.41,491.8,577.37,168.44,163.93,173.21,449.19,601.09,288.68,224.59,163.93,288.68,5558.67,5136.61,6004.62,2.82,100.0,22.54,100.0,4.23,100.0,,,,,,,,,,,,
499.0,284.0,732.0,296.0,319.0,270.0,1940.0,1774.0,2120.0,3271.0,2945.0,3624.0,15096.0,14585.0,15652.0,99.4,99.5,99.3,1220.0,1490.0,925.0,4231.0,3762.0,4742.0,314.0,461.0,154.0,407.0,461.0,347.0,1090.0,816.0,1388.0,15059.0,14656.0,15497.0,10.2,100.0,14.8,94.7,20.3,80.8,,,,,,,,,,,,
375.02,382.02,368.27,11178.42,10725.83,11614.73,2697.25,2380.25,3002.83,14481.47,13752.57,15184.14,15664.21,14134.59,17138.81,99.08,98.54,99.5,1601.04,1910.08,1303.12,1831.82,1351.75,2294.62,533.68,411.4,651.56,605.8,587.72,623.23,1802.97,1469.29,2124.65,15433.43,14163.97,16657.22,11.88,75.0,28.71,100.0,31.68,93.75,72.99,72.07,45.98,48.66,24.33,82.0,80.0,85.0,29.81,116.17,56.0,109.0
624.02,641.34,604.73,364.01,394.67,329.85,4394.18,3206.71,5717.43,5928.24,4736.06,7256.73,16510.66,14306.86,18966.47,86.3,88.28,84.64,936.04,1184.02,659.7,2938.12,2762.7,3133.59,182.01,296.0,54.98,780.03,592.01,989.55,2834.11,2072.03,3683.34,13520.54,12136.16,15063.22,22.37,88.24,34.21,80.77,23.68,77.78,,,,,,,,,5.0,60.0,25.0,86.0
419.95,481.6,352.3,12663.13,11990.61,13401.08,5582.12,4951.84,6273.71,19214.37,17868.61,20691.06,12430.55,9780.19,15338.75,96.52,96.84,96.29,1098.33,1099.04,1097.56,1330.92,963.2,1734.42,368.26,358.11,379.4,1195.24,1407.76,962.06,3055.95,1555.94,4701.9,12320.71,9644.36,15257.45,7.28,69.23,32.77,99.15,35.29,98.41,71.05,52.92,58.22,44.4,26.64,84.0,66.0,101.0,52.66,89.43,68.0,100.0
470.0,411.0,533.0,2177.0,1850.0,2531.0,8867.0,9204.0,8502.0,12665.0,12388.0,12963.0,12168.0,11024.0,13403.0,88.3,89.2,87.4,1141.0,1603.0,642.0,982.0,822.0,1155.0,171.0,247.0,89.0,854.0,740.0,977.0,1535.0,1270.0,1821.0,11137.0,10680.0,11631.0,12.5,71.4,39.3,100.0,37.5,85.7,44.0,39.0,49.0,19.0,25.0,50.0,39.0,61.0,22.0,67.0,26.0,74.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343.0,337.0,350.0,2488.0,2424.0,2553.0,1390.0,1279.0,1504.0,4598.0,4310.0,4897.0,8646.0,7037.0,10318.0,79.0,84.7,74.9,360.0,539.0,175.0,789.0,774.0,804.0,206.0,269.0,140.0,686.0,606.0,769.0,1098.0,875.0,1329.0,6656.0,5657.0,7695.0,11.8,93.3,37.8,100.0,41.7,98.1,54.0,54.0,54.0,42.0,12.0,66.0,68.0,64.0,35.0,73.0,42.0,90.0
238.01,212.55,266.12,9245.07,8913.14,9611.77,2551.13,2352.27,2770.82,12361.47,11789.71,12993.11,7155.08,5852.35,8594.24,93.04,93.22,92.9,550.39,609.32,485.28,394.2,240.9,563.56,208.26,226.73,187.85,937.15,1034.43,829.68,2394.94,1530.4,3350.03,7132.76,5809.83,8594.24,7.84,75.0,32.68,94.0,19.28,88.14,49.34,42.89,52.52,28.88,20.46,61.0,57.0,65.0,32.44,66.23,44.0,77.0
269.19,333.07,203.0,6101.69,5858.15,6354.04,7278.17,6054.08,8546.49,14646.06,13068.18,16280.96,8634.1,7405.96,9906.62,96.42,96.83,96.11,648.06,607.37,690.22,628.12,489.81,771.42,408.77,411.44,406.01,1286.14,1391.07,1177.43,1425.72,960.03,1908.24,8644.07,7386.36,9947.22,6.94,66.67,37.96,98.78,25.46,96.36,50.52,57.38,43.93,34.18,16.34,64.0,68.0,59.0,22.76,78.28,46.0,83.0
440.0,465.0,412.0,1576.0,1544.0,1611.0,2160.0,2032.0,2299.0,4980.0,4797.0,5182.0,5326.0,4678.0,6039.0,94.0,94.1,93.9,1081.0,1143.0,1013.0,1600.0,1257.0,1977.0,164.0,159.0,169.0,554.0,563.0,545.0,677.0,413.0,967.0,5788.0,5113.0,6532.0,14.6,87.8,18.7,96.2,21.6,93.8,38.0,35.0,42.0,26.0,12.0,52.0,45.0,59.0,35.0,41.0,48.0,55.0
1304.0,1289.0,1322.0,5297.0,5231.0,5374.0,8150.0,7885.0,8458.0,15037.0,14708.0,15419.0,12184.0,10235.0,14449.0,88.6,88.9,88.4,815.0,607.0,1057.0,1630.0,1365.0,1938.0,204.0,303.0,88.0,1263.0,1440.0,1057.0,1467.0,1213.0,1762.0,8761.0,7961.0,9692.0,22.8,92.3,42.1,100.0,49.1,89.3,,,,,,,,,,,,
67.0,69.98,63.41,363.74,297.41,443.88,373.31,227.43,549.57,842.35,594.82,1141.41,6049.58,5528.34,6679.35,99.53,99.68,99.37,421.17,384.88,465.02,698.77,419.87,1035.72,296.74,297.41,295.92,765.77,839.75,676.39,823.2,717.28,951.17,5369.96,5020.99,5791.59,23.11,100.0,18.4,100.0,20.28,97.67,59.28,69.57,30.49,42.12,17.16,96.0,95.0,98.0,38.9,79.66,73.0,119.0
503.16,438.8,569.26,3873.16,4180.14,3557.87,6002.81,5127.02,6902.28,13479.99,12170.9,14824.48,12777.91,11016.17,14587.29,95.7,96.23,95.28,1193.54,1501.15,877.61,1872.22,1200.92,2561.67,93.61,161.66,23.72,397.85,323.33,474.38,1743.51,1085.45,2419.35,11198.22,9653.58,12784.63,8.87,100.0,15.6,81.82,30.14,88.24,,,,,,,,,14.0,59.0,22.0,54.0
26.0,50.0,0.0,65.0,75.0,54.0,375.0,275.0,484.0,479.0,399.0,565.0,2524.0,2096.0,2985.0,96.4,94.0,98.2,337.0,349.0,323.0,311.0,175.0,457.0,129.0,50.0,215.0,414.0,399.0,430.0,65.0,75.0,54.0,2304.0,1872.0,2770.0,4.2,100.0,4.2,100.0,6.9,100.0,36.0,26.0,47.0,24.0,12.0,52.0,42.0,63.0,18.0,53.0,32.0,71.0
340.0,420.0,257.0,1437.0,1235.0,1648.0,1797.0,1804.0,1790.0,7781.0,7525.0,8047.0,14280.0,11070.0,17626.0,86.8,84.6,88.2,908.0,1285.0,515.0,996.0,988.0,1004.0,353.0,321.0,386.0,1084.0,1112.0,1056.0,1828.0,1359.0,2317.0,8877.0,8673.0,9090.0,6.9,42.9,56.9,100.0,53.9,100.0,44.0,47.0,41.0,23.0,21.0,54.0,56.0,51.0,28.0,61.0,33.0,74.0
393.0,426.0,357.0,1572.0,548.0,2664.0,2502.0,2012.0,3024.0,4609.0,3003.0,6323.0,8205.0,7664.0,8782.0,84.4,85.9,83.0,880.0,1035.0,715.0,645.0,609.0,682.0,173.0,183.0,162.0,534.0,579.0,487.0,677.0,595.0,765.0,5513.0,5530.0,5496.0,9.3,88.9,25.8,100.0,20.6,90.0,26.0,23.0,29.0,13.0,13.0,30.0,23.0,37.0,11.0,40.0,13.0,46.0
413.39,446.3,381.26,19374.4,19302.65,19444.44,1157.5,1059.97,1252.72,21400.03,21115.76,21677.56,10417.53,10209.21,10620.92,91.93,92.08,91.79,496.07,529.99,462.96,454.73,334.73,571.9,454.73,641.56,272.33,1226.4,1534.17,925.93,2356.35,1757.32,2941.18,9122.23,8340.31,9885.62,9.35,70.0,65.42,98.57,52.34,95.54,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349.66,321.22,382.05,676.52,542.51,829.13,1748.32,1513.31,2015.93,3051.96,2655.44,3503.5,6605.6,5375.12,8006.83,95.05,94.69,95.33,748.74,792.35,699.07,763.94,549.65,1007.97,167.23,235.56,89.42,554.9,656.72,438.95,1896.55,1070.74,2836.94,6088.71,4989.65,7340.27,5.28,91.3,3.67,100.0,13.99,98.36,22.96,15.92,31.88,19.26,3.7,36.0,36.0,38.0,13.13,32.79,26.0,46.0
328.48,251.96,408.16,771.21,615.9,932.94,1928.02,1623.74,2244.9,4055.98,3527.44,4606.41,2542.13,2323.63,2769.68,75.84,97.59,56.84,956.87,1231.8,670.55,1142.53,895.86,1399.42,57.13,28.0,87.46,99.97,111.98,87.46,142.82,55.99,233.24,3141.96,3079.51,3207.0,6.92,100.0,26.15,100.0,20.0,92.31,,,,,,,,,,,,
242.0,336.0,136.0,7445.0,7896.0,6933.0,3061.0,2256.0,3973.0,14242.0,13872.0,14661.0,12367.0,11587.0,13252.0,73.7,76.4,71.0,969.0,1296.0,599.0,1581.0,1536.0,1633.0,434.0,504.0,354.0,663.0,552.0,789.0,1173.0,840.0,1551.0,7396.0,7296.0,7510.0,2.0,100.0,25.5,100.0,20.4,100.0,44.0,49.0,37.0,27.0,16.0,50.0,56.0,45.0,31.0,56.0,32.0,68.0
867.0,884.0,848.0,4820.0,4529.0,5128.0,2585.0,2400.0,2781.0,8859.0,8336.0,9414.0,17627.0,16686.0,18623.0,95.6,96.0,95.2,2319.0,2780.0,1832.0,5420.0,5087.0,5772.0,174.0,207.0,139.0,466.0,534.0,394.0,2068.0,1577.0,2588.0,16285.0,15462.0,17156.0,9.1,88.7,16.4,88.2,21.0,84.7,31.0,30.0,32.0,21.0,10.0,36.0,34.0,39.0,27.0,35.0,33.0,40.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588.13,563.29,615.27,2975.26,3048.38,2895.4,3978.55,3578.53,4415.49,8718.21,8184.23,9301.48,4168.83,4075.55,4270.72,97.93,99.19,96.61,847.6,1060.3,615.27,1868.19,1623.59,2135.36,138.38,165.67,108.58,86.49,99.4,72.39,190.28,165.67,217.16,4618.58,4837.64,4379.3,3.61,100.0,9.64,100.0,8.43,85.71,,,,,,,,,,,,
860.94,988.96,734.21,15505.08,14257.46,16740.09,2640.21,2851.49,2431.07,19260.41,18328.66,20182.74,9371.93,8406.13,10327.95,95.98,97.65,94.63,2869.79,3642.66,2104.75,2074.45,1582.33,2561.59,459.17,675.79,244.74,737.95,346.13,1125.8,1008.53,576.89,1435.8,9773.7,9428.05,10115.84,5.42,72.73,17.73,100.0,17.24,100.0,31.11,24.1,37.9,25.19,5.93,35.0,27.0,44.0,18.56,43.67,21.0,49.0
216.5,224.82,206.93,481.12,449.64,517.33,2525.86,1933.45,3207.45,3223.48,2607.91,3931.71,6567.24,5845.32,7397.83,94.14,96.15,92.31,264.61,314.75,206.93,529.23,494.6,569.06,360.84,404.68,310.4,457.06,449.64,465.6,481.12,314.75,672.53,5172.0,5035.97,5328.5,1.64,100.0,22.13,96.3,2.46,100.0,73.83,53.89,37.04,43.62,30.2,96.0,72.0,125.0,43.79,103.87,62.0,129.0
278.34,261.87,295.51,1667.84,1592.68,1746.22,3844.13,3644.72,4052.12,6252.74,5962.91,6555.03,4771.19,4357.35,5202.83,93.75,89.36,97.59,1001.58,1107.58,891.02,1350.05,1086.12,1625.32,100.82,111.62,89.55,238.89,253.28,223.87,405.45,223.23,595.5,5042.96,4739.42,5359.54,10.57,84.72,15.42,98.1,10.72,98.63,18.41,16.64,20.21,13.61,4.8,23.0,19.0,26.0,13.7,23.11,17.0,28.0
463.0,517.0,405.0,1415.0,1501.0,1321.0,1617.0,1533.0,1708.0,4127.0,4181.0,4068.0,4565.0,3664.0,5548.0,93.4,93.8,93.0,463.0,597.0,317.0,489.0,339.0,652.0,143.0,97.0,194.0,497.0,436.0,564.0,1204.0,807.0,1638.0,5079.0,4165.0,6076.0,5.7,70.0,9.1,93.8,11.9,100.0,42.0,34.0,50.0,23.0,19.0,73.0,62.0,85.0,28.0,56.0,55.0,91.0
1007.58,1054.85,956.34,1127.29,1131.57,1122.66,6005.59,5140.01,6943.87,9676.78,8649.79,10790.02,8908.62,7479.86,10457.38,89.2,89.5,89.1,728.25,843.88,602.91,2324.42,1342.54,3388.77,159.62,153.43,166.32,608.54,671.27,540.54,1007.58,786.34,1247.4,8300.08,7134.64,9563.41,5.4,90.0,7.6,78.6,6.5,91.7,41.27,26.11,58.14,26.13,15.13,62.0,55.0,72.0,26.26,56.27,45.0,80.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620.0,733.0,493.0,1628.0,1467.0,1808.0,4212.0,3912.0,4548.0,7106.0,6601.0,7671.0,5168.0,4450.0,5973.0,82.5,85.7,79.8,129.0,98.0,164.0,775.0,685.0,877.0,258.0,244.0,274.0,1008.0,1076.0,932.0,284.0,147.0,438.0,4341.0,4010.0,4712.0,28.2,100.0,21.8,94.1,26.9,81.0,38.0,25.0,52.0,26.0,13.0,58.0,47.0,68.0,9.0,68.0,28.0,87.0
741.0,555.0,932.0,1992.0,1462.0,2536.0,2043.0,1513.0,2588.0,10064.0,7716.0,12474.0,17880.0,13717.0,22153.0,88.1,85.3,90.0,817.0,1009.0,621.0,1201.0,958.0,1449.0,358.0,252.0,466.0,1047.0,1059.0,1035.0,1711.0,1664.0,1760.0,10319.0,8825.0,11853.0,4.5,66.7,35.8,100.0,17.9,100.0,,,,,,,,,,,,
189.0,251.0,121.0,1945.0,1949.0,1941.0,1858.0,1671.0,2062.0,5618.0,5347.0,5914.0,6533.0,5430.0,7734.0,94.7,97.4,92.5,1423.0,1309.0,1547.0,2439.0,1810.0,3124.0,218.0,139.0,303.0,552.0,557.0,546.0,769.0,501.0,1062.0,7114.0,6071.0,8250.0,5.9,100.0,18.8,93.3,20.8,90.5,44.0,46.0,41.0,32.0,12.0,51.0,53.0,49.0,26.0,62.0,31.0,72.0
501.08,578.03,419.23,4780.61,4177.61,5422.02,4225.35,3652.13,4835.1,10102.93,8906.99,11375.07,9737.27,7330.53,12297.37,82.06,86.02,79.55,934.45,867.05,1006.15,690.68,551.76,838.46,176.06,131.37,223.59,1273.02,1339.99,1201.79,2315.82,1261.17,3437.67,9710.18,7304.26,12269.42,13.29,63.16,30.07,95.35,18.88,88.89,55.03,70.67,37.97,51.23,3.8,73.0,91.0,52.0,34.64,75.42,51.0,95.0
617.0,616.0,617.0,4625.0,4271.0,4978.0,16957.0,15280.0,18634.0,22220.0,20211.0,24229.0,9513.0,10084.0,8943.0,75.9,73.8,78.3,705.0,1101.0,308.0,1035.0,925.0,1145.0,198.0,220.0,176.0,529.0,528.0,529.0,815.0,661.0,969.0,7708.0,7706.0,7709.0,7.2,100.0,39.8,100.0,24.1,80.0,,,,,,,,,,,,
1115.0,1348.0,866.0,7555.0,6958.0,8194.0,2816.0,3398.0,2193.0,11625.0,11812.0,11425.0,26735.0,26699.0,26774.0,94.2,94.7,93.5,4210.0,5178.0,3174.0,9311.0,8738.0,9925.0,56.0,108.0,0.0,390.0,647.0,115.0,2286.0,1672.0,2943.0,25091.0,25189.0,24986.0,8.3,100.0,12.5,83.3,20.8,60.0,,,,,,,,,,,,
526.8,466.26,590.35,2950.06,2879.87,3023.76,10760.69,10024.68,11533.48,14448.27,13535.38,15406.77,6497.16,6184.86,6825.05,94.2,93.8,94.5,519.77,521.12,518.36,1264.31,1124.52,1411.09,112.38,109.71,115.19,758.59,877.67,633.55,1116.81,836.53,1411.09,6476.08,6157.43,6810.66,6.7,100.0,2.1,100.0,2.1,75.0,46.51,44.33,48.91,41.34,5.17,47.0,44.0,49.0,32.5,60.53,32.0,61.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975.0,2119.0,1815.0,2414.0,2925.0,1848.0,4718.0,4597.0,4851.0,9248.0,9791.0,8647.0,10125.0,9970.0,10297.0,99.2,99.1,99.4,1003.0,1284.0,693.0,1630.0,1910.0,1320.0,188.0,239.0,132.0,846.0,896.0,792.0,972.0,567.0,1419.0,10251.0,9940.0,10594.0,2.9,100.0,19.7,92.6,26.3,88.9,,,,,,,,,,,,
247.46,235.29,260.95,2955.73,3006.54,2899.39,2708.28,2535.95,2899.39,6145.17,6013.07,6291.68,3931.81,3712.42,4175.12,95.1,98.6,91.7,151.22,156.86,144.97,453.67,418.3,492.9,96.23,104.58,86.98,123.73,130.72,115.98,288.7,156.86,434.91,3258.18,3424.84,3073.35,9.8,100.0,11.8,100.0,13.7,100.0,80.34,81.76,78.65,58.12,22.22,109.0,97.0,122.0,55.98,104.7,84.0,135.0
592.0,596.0,588.0,3655.0,3614.0,3700.0,4440.0,4128.0,4786.0,10504.0,10009.0,11052.0,11061.0,9591.0,12691.0,88.8,89.1,88.5,1098.0,1400.0,763.0,1221.0,1107.0,1347.0,308.0,328.0,286.0,923.0,891.0,958.0,1811.0,1251.0,2431.0,9755.0,8928.0,10672.0,10.0,87.5,30.4,99.0,31.9,95.5,41.0,40.0,43.0,26.0,16.0,51.0,49.0,54.0,38.0,45.0,48.0,55.0
534.88,552.25,515.71,947.18,870.86,1031.41,3019.84,2931.18,3117.67,4513.04,4354.29,4688.23,6139.96,5671.2,6657.29,90.4,92.5,88.4,1437.49,1784.2,1054.85,2150.66,1741.72,2601.97,33.43,42.48,23.44,390.02,446.05,328.18,813.46,552.25,1101.73,6663.7,6393.37,6962.03,31.0,97.5,14.7,84.2,8.5,81.8,64.05,90.53,37.34,51.65,12.4,73.0,93.0,54.0,35.73,92.37,50.0,97.0
80.0,60.0,103.0,80.0,121.0,34.0,4118.0,3987.0,4267.0,4552.0,4500.0,4611.0,6032.0,5406.0,6745.0,89.3,92.2,86.7,997.0,1148.0,826.0,1914.0,1631.0,2237.0,113.0,60.0,172.0,370.0,302.0,447.0,322.0,272.0,379.0,5710.0,5104.0,6401.0,17.4,90.0,10.4,100.0,20.9,91.7,37.0,31.0,42.0,21.0,16.0,52.0,39.0,65.0,25.0,48.0,29.0,74.0
