"ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Diarrhoea/Dysentery - Person - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Diarrhoea/Dysentery - Male - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Diarrhoea/Dysentery - Female - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Acute Respiratory Infection (ARI) - Person - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Acute Respiratory Infection (ARI) - Male - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Acute Respiratory Infection (ARI) - Female - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Fever (All Types) - Person - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Fever (All Types) - Male - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Fever (All Types) - Female - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Any type of Acute Illness - Person - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Any type of Acute Illness - Male - Total","ACUTE ILLNESS - Persons suffering from Acute Illness (Per 100,000 Population) - Any type of Acute Illness - Female - Total","CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness (Per 100,000 Population) - Person - Total","CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness (Per 100,000 Population) - Male - Total","CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness (Per 100,000 Population) - Female - Total",CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness and sought Medical Care (%) - Person - Total,CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness and sought Medical Care (%) - Male - Total,CHRONIC ILLNESS - Having any kind of Symptoms of Chronic Illness and sought Medical Care (%) - Female - Total,"CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Diabetes - Person - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Diabetes - Male - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Diabetes - Female - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Hypertension - Person - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Hypertension - Male - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Hypertension - Female - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Tuberculosis (TB) - Person - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Tuberculosis (TB) - Male - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Tuberculosis (TB) - Female - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Asthma / Chronic Respiratory Disease - Person - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Asthma / Chronic Respiratory Disease - Male - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Asthma / Chronic Respiratory Disease - Female - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Arthritis - Person - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Arthritis - Male - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Arthritis - Female - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Any kind of Chronic Illness - Person - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Any kind of Chronic Illness - Male - Total","CHRONIC ILLNESS - Having diagnosed for Chronic Illness (Per 100,000 Population) - Any kind of Chronic Illness - Female - Total",CHILDHOOD DISEASES - Children suffering from Diarrhoea (%) - Total,CHILDHOOD DISEASES - Children suffering from Diarrhoea who received HAF/ORS/ORT (%) - Total,CHILDHOOD DISEASES - Children suffering from Acute Respiratory Infection (%) - Total,CHILDHOOD DISEASES - Children suffering from Acute Respiratory Infection who sought treatment (%) - Total,CHILDHOOD DISEASES - Children suffering from Fever (%) - Total,CHILDHOOD DISEASES - Children suffering from Fever who sought treatment (%) - Total,MORTALITY - Infant Mortality Rate (IMR) - Total - Person,MORTALITY - Infant Mortality Rate (IMR) - Total - Male,MORTALITY - Infant Mortality Rate (IMR) - Total - Female,MORTALITY - Neo-natal Mortality Rate - Total,MORTALITY - Post Neo-natal Mortality Rate - Total,MORTALITY - Under Five Mortality Rate (U5MR) - Total - Person,MORTALITY - Under Five Mortality Rate (U5MR) - Total - Male,MORTALITY - Under Five Mortality Rate (U5MR) - Total - Female,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Infant Mortality Rate - Total - Lower Limit,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Infant Mortality Rate - Total - Upper Limit,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Under Five Mortality Rate (U5MR) - Total - Lower Limit,CONFIDENCE INTERVAL (95%) FOR SOME IMPORTANT INDICATORS - Under Five Mortality Rate (U5MR) - Total - Upper Limit
3245.0,3301.0,3189.0,9790.0,9772.0,9809.0,5671.0,5518.0,5822.0,19004.0,18870.0,19137.0,24904.0,22850.0,26926.0,88.4,89.7,87.3,931.0,1092.0,773.0,4687.0,3914.0,5448.0,350.0,459.0,242.0,767.0,880.0,655.0,4099.0,3782.0,4411.0,22323.0,20660.0,23961.0,29.1,90.6,15.8,95.6,35.5,90.2,65.0,61.0,69.0,44.0,21.0,77.0,71.0,83.0,55.0,74.0,66.0,88.0
606.0,556.0,664.0,2222.0,2373.0,2051.0,2342.0,2379.0,2298.0,5320.0,5486.0,5131.0,3187.0,3058.0,3334.0,87.7,86.8,88.6,635.0,805.0,441.0,336.0,361.0,306.0,180.0,192.0,167.0,513.0,605.0,408.0,698.0,548.0,869.0,3812.0,4068.0,3520.0,8.3,90.2,10.0,97.4,17.8,96.3,45.0,43.0,48.0,29.0,16.0,63.0,58.0,68.0,37.0,54.0,55.0,70.0
132.76,126.12,139.74,75.45,95.98,53.87,6455.8,6098.3,6831.59,7168.55,6871.04,7481.28,11058.65,9828.58,12351.66,89.76,90.15,89.44,591.83,749.31,426.29,1435.81,1172.18,1712.93,208.22,251.98,162.21,387.73,399.25,375.61,907.68,663.24,1164.64,6321.82,6040.68,6617.36,11.91,84.44,16.06,93.19,28.55,89.3,54.0,53.0,55.0,31.0,23.0,73.0,70.0,76.0,44.0,63.0,63.0,83.0
172.0,200.0,143.0,1011.0,970.0,1055.0,3862.0,3630.0,4105.0,8948.0,8521.0,9394.0,11881.0,10297.0,13533.0,77.7,78.6,77.0,634.0,750.0,513.0,605.0,531.0,681.0,419.0,445.0,392.0,1180.0,1096.0,1268.0,2002.0,1669.0,2349.0,8591.0,7828.0,9387.0,4.0,41.0,13.0,100.0,31.4,94.0,43.0,42.0,44.0,26.0,17.0,57.0,57.0,58.0,38.0,48.0,52.0,63.0
252.42,245.83,259.73,886.28,888.29,884.06,2211.96,1882.74,2577.64,4173.9,3726.46,4670.89,9138.92,8095.36,10298.06,97.01,97.11,96.92,246.4,261.38,229.76,492.24,300.78,704.91,381.89,417.08,342.79,707.73,860.41,538.15,708.14,560.22,872.44,6948.56,6232.37,7744.06,4.42,97.99,17.4,100.0,12.51,97.16,58.33,53.45,63.52,36.65,21.67,83.0,74.0,92.0,48.87,67.78,75.0,91.0
845.91,863.44,826.51,849.25,865.44,831.34,11138.34,10193.48,12184.26,13019.16,12086.84,14051.2,4841.05,4669.43,5031.02,76.5,76.3,76.7,273.54,312.62,230.27,205.21,190.57,221.42,112.19,149.77,70.59,310.56,381.77,231.73,553.92,471.49,645.16,3444.55,3319.27,3583.22,21.2,94.4,19.9,97.6,32.3,89.3,67.21,51.17,84.82,50.78,16.43,112.0,101.0,124.0,57.9,76.52,100.0,124.0
465.73,474.95,454.8,1560.37,1462.52,1676.31,1957.32,1636.5,2337.47,4194.63,3768.06,4700.07,4589.66,4508.69,4685.59,93.1,94.1,91.9,219.08,229.86,206.31,255.74,243.3,270.49,245.43,294.2,187.65,747.86,807.27,677.47,1015.33,993.99,1040.61,4260.13,4091.53,4459.9,12.7,94.5,13.7,99.0,12.3,91.7,73.26,65.51,82.47,43.25,30.01,94.0,85.0,104.0,58.14,88.37,80.0,107.0
500.88,533.58,465.72,16483.81,15957.6,17049.67,4078.69,3610.39,4582.29,21297.49,20323.65,22344.72,15858.55,13299.08,18610.95,89.74,90.45,89.19,183.14,219.43,144.12,601.94,369.42,851.98,339.34,368.99,307.46,1858.54,2041.24,1662.06,5631.64,4161.75,7212.32,15817.26,13278.42,18547.47,9.97,82.0,44.7,96.01,29.37,95.79,79.39,79.05,79.75,55.04,24.35,102.0,98.0,105.0,73.02,85.76,96.0,107.0
748.0,716.8,777.39,4531.94,4773.91,4303.93,3022.86,2848.12,3187.52,8531.99,8548.9,8516.05,20274.48,18317.65,22118.46,99.11,99.12,99.11,317.88,375.86,263.25,386.13,305.41,462.21,477.75,594.03,368.17,617.06,788.58,455.43,3865.05,3281.97,4414.49,16215.87,15090.21,17276.6,12.38,86.75,17.26,98.32,22.07,94.68,82.15,80.3,84.28,61.34,20.81,113.0,107.0,119.0,72.35,91.96,104.0,121.0
346.0,350.0,342.0,3320.0,3267.0,3374.0,2866.0,2632.0,3105.0,7072.0,6757.0,7393.0,8814.0,7897.0,9750.0,80.5,82.0,79.2,802.0,964.0,636.0,839.0,804.0,875.0,307.0,389.0,224.0,415.0,420.0,410.0,1774.0,1304.0,2253.0,7413.0,6937.0,7897.0,7.7,84.1,21.4,91.4,19.8,90.3,36.0,36.0,37.0,23.0,13.0,51.0,49.0,52.0,35.0,38.0,50.0,52.0
162.34,173.79,152.62,462.82,423.74,496.02,959.72,808.42,1088.25,2168.78,1894.12,2402.12,7428.4,5723.38,8876.91,89.42,91.85,88.1,323.79,363.2,290.31,619.78,622.91,617.12,57.4,52.72,61.38,1022.5,1238.02,839.42,3100.7,1593.41,4381.22,6901.9,5383.61,8191.77,2.56,82.61,2.67,95.83,4.22,94.74,20.39,21.24,19.43,14.87,5.52,24.0,24.0,24.0,17.14,23.64,20.0,28.0
656.27,613.0,702.71,1203.91,1125.71,1287.86,6287.71,5952.61,6647.45,8368.72,7872.67,8901.24,8529.67,7617.07,9509.37,66.7,71.6,62.5,262.2,337.32,181.54,545.35,422.52,677.21,148.8,164.68,131.74,623.03,578.02,671.36,1631.47,1338.27,1946.22,6153.68,5577.38,6772.37,7.1,98.2,15.2,96.3,21.4,97.1,83.37,79.25,87.96,56.78,26.59,121.0,116.0,128.0,70.64,96.1,113.0,130.0
74.56,103.81,43.17,1061.28,1038.47,1085.76,1792.91,1585.96,2014.99,3094.11,2903.79,3298.34,6168.63,5549.49,6833.02,91.8,92.3,91.3,365.17,372.23,357.6,1214.24,943.39,1504.89,169.7,195.17,142.37,770.52,782.54,757.63,1428.04,1097.25,1783.02,5676.87,5126.09,6267.89,10.4,94.8,12.3,99.6,10.6,96.6,55.63,57.63,53.43,32.34,23.3,76.0,78.0,74.0,44.83,66.43,68.0,84.0
2000.68,1822.29,2173.76,249.63,256.54,242.93,9875.69,9221.84,10510.09,14245.28,13132.54,15324.92,14937.49,13807.84,16033.53,87.55,89.12,86.23,1286.07,1604.06,977.55,2805.37,1796.93,3783.79,246.63,304.84,190.14,592.94,606.46,579.82,2025.68,1644.9,2395.14,12191.75,11395.16,12964.63,16.78,92.15,25.68,97.09,48.25,95.66,48.0,49.0,46.0,37.0,11.0,57.0,57.0,56.0,40.0,55.0,49.0,64.0
1116.69,1091.19,1143.29,853.91,830.03,878.82,2443.77,2121.95,2779.55,5179.81,4748.9,5629.41,5980.92,5748.96,6222.94,98.34,98.22,98.45,190.63,243.41,135.55,410.46,400.91,420.41,290.16,319.93,259.11,503.19,502.81,503.59,511.86,527.53,495.52,4974.36,4740.36,5218.52,10.21,96.28,10.61,100.0,10.22,97.21,71.22,71.62,70.79,53.75,17.47,97.0,93.0,101.0,60.3,82.14,89.0,104.0
1232.0,992.0,1489.0,518.0,421.0,621.0,2968.0,2818.0,3128.0,5201.0,4666.0,5774.0,12536.0,12071.0,13034.0,98.4,98.8,98.0,462.0,606.0,308.0,1990.0,1880.0,2107.0,216.0,282.0,145.0,433.0,511.0,350.0,1638.0,1367.0,1928.0,12291.0,11936.0,12672.0,9.4,93.9,11.4,91.8,14.8,81.0,53.0,53.0,53.0,38.0,15.0,70.0,72.0,69.0,44.0,62.0,63.0,78.0
336.97,363.34,313.49,13693.41,13538.27,13831.49,5331.47,4927.73,5690.77,19527.33,19014.12,19984.07,18489.33,16994.95,19819.29,99.13,99.07,99.18,771.9,949.41,613.92,1259.95,1042.21,1453.73,430.08,406.99,450.63,982.68,1132.8,849.08,2664.11,2541.74,2773.01,16968.5,15471.72,18300.59,11.04,77.43,24.56,98.65,28.01,96.5,74.19,74.7,73.63,57.43,16.76,89.0,88.0,90.0,66.69,81.69,82.0,96.0
376.89,380.06,373.48,739.03,718.01,761.59,3777.81,3481.11,4096.21,5938.67,5504.31,6404.79,11881.87,11154.7,12662.22,82.57,84.75,80.52,427.36,579.4,264.2,1136.26,898.28,1391.65,128.33,133.41,122.88,302.62,290.65,315.47,2849.67,2568.39,3151.52,8995.01,8730.68,9278.66,17.28,84.13,26.47,85.32,21.85,84.47,49.0,45.0,53.0,34.0,15.0,77.0,68.0,87.0,41.0,56.0,68.0,86.0
340.38,369.09,308.44,14332.8,13558.55,15193.89,6625.23,5790.01,7554.13,21780.35,20119.39,23627.62,11953.42,9164.52,15055.14,93.98,94.55,93.59,512.51,525.86,497.66,1044.81,741.37,1382.3,352.73,389.89,311.41,1728.06,1912.67,1522.74,4031.21,2156.49,6116.21,11817.49,9044.98,14900.96,5.93,72.01,39.38,99.32,34.75,98.36,67.87,68.91,66.81,47.89,19.98,89.0,87.0,93.0,59.1,76.64,81.0,98.0
237.0,207.0,268.0,1743.0,1850.0,1636.0,4189.0,4173.0,4206.0,8583.0,8547.0,8619.0,16168.0,14116.0,18237.0,83.8,83.9,83.7,511.0,601.0,420.0,616.0,524.0,709.0,245.0,334.0,156.0,967.0,952.0,982.0,2461.0,2234.0,2691.0,12379.0,11161.0,13608.0,8.4,46.8,20.0,98.5,36.7,95.8,48.0,51.0,45.0,29.0,19.0,70.0,72.0,68.0,43.0,53.0,64.0,76.0
1146.32,1227.08,1071.47,4479.88,4481.99,4477.92,1747.23,1551.67,1928.48,7836.28,7719.74,7944.3,16869.54,14746.06,18837.59,97.52,97.29,97.69,731.63,903.74,572.12,1071.2,816.94,1306.85,280.11,321.09,242.13,777.07,896.7,666.19,1955.78,1593.25,2291.78,12750.76,11438.82,13966.68,13.87,91.1,16.82,96.53,20.75,94.92,80.78,83.19,78.0,60.39,20.39,106.0,102.0,110.0,69.29,92.27,96.0,117.0
1519.0,1514.0,1524.0,2520.0,2583.0,2456.0,4943.0,4844.0,5043.0,9407.0,9310.0,9505.0,12476.0,10203.0,14764.0,86.0,86.0,86.0,240.0,295.0,185.0,598.0,512.0,685.0,235.0,280.0,188.0,1050.0,951.0,1149.0,2212.0,1685.0,2742.0,9471.0,7922.0,11030.0,4.5,87.0,29.1,99.7,37.0,84.3,49.0,45.0,53.0,36.0,13.0,63.0,58.0,69.0,42.0,56.0,57.0,70.0
222.31,215.64,229.78,8838.33,8862.71,8811.03,2808.2,2396.89,3268.9,12151.85,11718.81,12636.89,7355.84,6008.28,8865.18,91.27,90.67,91.73,235.03,266.33,199.98,219.96,138.26,311.46,188.58,199.61,176.23,1097.15,1213.42,966.92,2872.89,2031.94,3814.79,7327.51,5981.67,8834.94,8.66,71.08,42.93,92.14,21.41,86.84,56.46,54.5,58.78,35.85,20.61,79.0,72.0,87.0,49.0,63.91,71.0,87.0
455.09,460.62,449.46,6892.99,6731.12,7057.53,7465.46,6455.6,8492.05,16064.68,14708.57,17443.25,9497.69,8447.19,10565.59,92.32,92.39,92.25,493.18,470.91,515.81,577.55,481.47,675.22,376.18,403.71,348.2,1386.81,1633.4,1136.14,1370.33,902.24,1846.19,9514.34,8417.91,10628.92,10.8,81.98,39.61,97.88,29.19,94.78,61.52,59.8,63.58,47.44,14.09,79.0,74.0,85.0,48.97,74.07,70.0,88.0
364.0,370.0,359.0,1678.0,1616.0,1745.0,2719.0,2510.0,2941.0,5465.0,5145.0,5806.0,4554.0,4100.0,5040.0,89.9,90.8,89.1,437.0,476.0,395.0,844.0,671.0,1030.0,181.0,207.0,152.0,652.0,741.0,558.0,716.0,508.0,938.0,4299.0,3955.0,4667.0,13.4,86.4,15.9,94.9,20.3,92.6,55.0,51.0,60.0,37.0,18.0,74.0,68.0,81.0,53.0,57.0,73.0,76.0
3384.0,3315.0,3462.0,7293.0,7008.0,7616.0,12656.0,11991.0,13408.0,23435.0,22393.0,24615.0,17107.0,14427.0,20141.0,92.7,94.3,91.4,252.0,291.0,208.0,749.0,630.0,885.0,522.0,589.0,446.0,1179.0,1271.0,1074.0,1975.0,1871.0,2093.0,14249.0,11754.0,17072.0,12.3,95.5,42.1,100.0,50.6,83.8,48.0,42.0,53.0,32.0,16.0,72.0,64.0,80.0,38.0,58.0,64.0,80.0
66.13,64.01,68.6,1052.95,1008.16,1105.27,657.81,538.68,796.94,1924.67,1721.8,2161.6,6872.03,6509.89,7294.96,95.69,96.7,94.64,286.34,305.63,263.81,495.85,401.52,606.0,377.02,407.77,341.12,917.27,905.8,930.66,907.98,811.65,1020.47,5465.82,5434.64,5502.23,24.3,98.94,21.11,100.0,20.29,98.36,65.02,63.25,66.9,48.2,16.82,97.0,92.0,102.0,54.51,75.53,87.0,107.0
954.9,855.03,1046.99,5103.84,4967.92,5229.19,5861.93,5450.57,6241.29,17615.83,16319.72,18811.12,15702.27,13900.7,17363.7,95.59,96.14,95.18,863.66,1060.69,681.96,2314.18,1662.82,2914.87,178.87,217.79,142.97,762.98,745.72,778.89,2382.17,1848.15,2874.65,14075.37,12812.08,15240.38,9.52,99.21,22.99,94.9,39.5,92.66,48.0,47.0,48.0,31.0,17.0,55.0,52.0,59.0,42.0,54.0,49.0,62.0
29.0,32.0,26.0,80.0,77.0,82.0,611.0,476.0,755.0,842.0,694.0,1000.0,2200.0,1972.0,2443.0,95.3,95.3,95.3,129.0,148.0,108.0,190.0,139.0,244.0,105.0,90.0,122.0,553.0,622.0,479.0,49.0,29.0,70.0,1793.0,1687.0,1906.0,5.2,97.8,4.7,100.0,6.4,95.2,52.0,45.0,60.0,39.0,13.0,68.0,58.0,80.0,44.0,59.0,62.0,75.0
554.0,565.0,543.0,1885.0,1903.0,1868.0,4280.0,4411.0,4155.0,11820.0,11586.0,12043.0,15738.0,12626.0,18702.0,80.7,81.5,80.2,449.0,588.0,315.0,794.0,739.0,847.0,497.0,588.0,411.0,1098.0,1079.0,1116.0,2339.0,2030.0,2633.0,9633.0,8670.0,10549.0,11.6,52.0,22.1,99.1,51.8,96.7,49.0,51.0,48.0,28.0,21.0,62.0,63.0,62.0,42.0,57.0,54.0,70.0
229.0,244.0,215.0,2250.0,2253.0,2246.0,2960.0,2408.0,3500.0,5904.0,5338.0,6458.0,6408.0,5714.0,7089.0,75.1,78.8,72.2,286.0,342.0,231.0,358.0,344.0,371.0,335.0,413.0,258.0,363.0,414.0,314.0,1418.0,1185.0,1647.0,6131.0,5789.0,6465.0,6.6,83.1,24.8,94.2,26.2,96.3,40.0,39.0,40.0,23.0,17.0,52.0,50.0,54.0,34.0,45.0,47.0,57.0
570.07,620.89,517.32,22523.57,21933.34,23136.2,3790.65,3737.15,3846.18,27648.31,26861.11,28465.38,10326.22,9632.15,11046.63,90.12,91.5,88.88,172.39,158.81,186.48,252.01,171.84,335.21,470.87,546.21,392.67,1541.41,1866.31,1204.19,2103.29,1462.06,2768.84,9192.13,8182.36,10240.21,12.63,76.21,58.81,97.98,45.79,94.65,84.28,77.13,92.91,65.14,19.15,108.0,93.0,126.0,71.68,96.88,99.0,117.0
390.0,388.0,392.0,945.0,1042.0,851.0,5288.0,4869.0,5695.0,9069.0,8720.0,9408.0,10732.0,9545.0,11884.0,75.3,77.1,73.9,277.0,334.0,221.0,436.0,456.0,416.0,364.0,344.0,384.0,889.0,977.0,803.0,1470.0,1263.0,1670.0,5972.0,5800.0,6138.0,5.1,46.5,17.5,97.9,22.1,91.8,51.0,50.0,52.0,29.0,21.0,69.0,71.0,66.0,41.0,60.0,61.0,77.0
236.21,214.12,260.67,521.44,468.53,580.06,1667.95,1367.42,2000.85,2866.82,2440.16,3339.44,6061.21,4929.08,7315.3,91.78,91.57,91.94,550.41,583.01,514.3,594.98,447.33,758.54,180.5,220.48,136.21,594.98,638.13,547.18,1612.24,1000.66,2289.7,5563.17,4570.8,6662.44,5.22,93.02,7.17,99.15,9.42,97.42,34.59,33.78,35.52,26.94,7.65,44.0,44.0,43.0,27.95,41.23,38.0,49.0
1042.71,1055.05,1030.21,880.04,857.57,902.78,1902.82,1736.83,2070.85,4654.55,4391.67,4920.66,1990.93,1961.55,2020.66,85.7,83.34,88.01,307.01,406.43,206.38,220.42,183.99,257.29,65.85,83.22,48.26,256.4,332.03,179.84,162.97,123.19,203.25,2212.79,2155.07,2271.23,25.43,98.97,20.82,96.8,30.63,96.54,39.56,37.09,42.22,25.53,14.03,52.0,51.0,52.0,31.08,48.05,45.0,58.0
316.0,322.0,309.0,3099.0,3255.0,2932.0,4850.0,4494.0,5228.0,13402.0,12843.0,13997.0,13089.0,11769.0,14493.0,74.7,75.9,73.7,563.0,718.0,397.0,861.0,779.0,949.0,495.0,622.0,360.0,960.0,979.0,940.0,1510.0,1257.0,1778.0,7561.0,7478.0,7648.0,5.5,52.1,20.9,100.0,34.4,96.4,49.0,53.0,46.0,28.0,21.0,64.0,67.0,60.0,43.0,56.0,57.0,70.0
1374.0,1370.0,1377.0,4927.0,4724.0,5137.0,3366.0,3210.0,3529.0,10256.0,9824.0,10705.0,17413.0,16263.0,18608.0,94.1,94.4,93.8,935.0,1128.0,734.0,3999.0,3499.0,4519.0,282.0,349.0,212.0,619.0,703.0,532.0,2866.0,2422.0,3326.0,15651.0,14648.0,16693.0,10.6,88.7,18.2,88.8,24.5,85.7,55.0,55.0,56.0,37.0,18.0,71.0,71.0,72.0,53.0,58.0,70.0,73.0
619.52,631.37,609.2,13055.72,13172.37,12954.12,1718.98,916.46,2418.0,15738.44,15071.02,16319.78,19455.99,17047.39,21553.95,96.98,96.62,97.23,498.61,598.95,411.2,794.8,577.0,984.51,345.57,368.2,325.86,528.15,733.22,349.53,2422.33,1962.55,2822.81,15953.63,15011.69,16774.09,10.12,94.98,14.11,97.04,22.85,92.95,63.16,62.1,64.0,46.8,16.37,78.0,75.0,80.0,53.22,73.1,68.0,87.0
687.68,654.74,722.39,1779.37,1985.45,1562.22,6295.07,6190.98,6404.75,9252.38,9273.14,9230.51,3076.7,3176.63,2971.41,68.41,69.51,67.18,317.29,447.22,180.38,353.71,325.46,383.49,240.22,359.12,114.93,277.32,448.36,97.08,249.97,222.06,279.38,2954.03,3352.78,2533.86,2.28,94.59,15.66,99.21,11.12,97.85,50.46,48.57,52.55,28.69,21.77,90.0,89.0,91.0,43.14,57.77,82.0,97.0
2259.32,2323.17,2194.59,12211.86,11575.6,12856.81,4129.04,4146.47,4111.38,19132.4,18524.1,19749.02,9866.9,8604.98,11146.07,96.0,94.51,97.17,611.73,719.89,502.08,1041.71,659.76,1428.87,237.3,304.76,168.92,568.31,610.69,525.34,1316.06,893.82,1744.07,6886.03,6086.09,7696.92,11.33,81.27,33.87,100.0,22.55,96.52,47.2,45.99,48.42,35.62,11.58,56.0,56.0,56.0,40.62,53.78,50.0,62.0
409.34,365.8,454.62,277.72,288.44,266.57,3420.05,2722.33,4145.73,4584.61,4055.73,5134.69,8869.4,8413.88,9343.18,91.08,93.05,89.23,228.34,256.61,198.93,481.04,482.3,479.74,633.2,800.54,459.15,851.86,889.69,812.51,558.7,516.23,602.88,5996.41,6179.62,5805.86,3.65,94.16,18.96,89.21,9.23,97.16,55.25,54.72,55.84,35.68,19.56,96.0,84.0,108.0,47.79,62.71,88.0,104.0
463.33,461.15,465.55,1544.7,1556.42,1532.73,4110.61,3940.55,4284.23,6508.0,6333.51,6686.15,3784.92,3497.59,4078.26,97.13,95.15,98.86,722.43,855.34,586.73,783.83,680.45,889.37,109.08,130.04,87.68,589.06,591.62,586.44,507.11,294.87,723.79,4252.29,4080.17,4428.01,8.39,89.37,12.44,93.21,9.23,94.84,34.93,29.24,40.64,24.34,10.58,43.0,34.0,51.0,29.58,40.28,38.0,47.0
317.0,334.0,299.0,3101.0,2921.0,3291.0,2012.0,1924.0,2106.0,6053.0,5748.0,6374.0,5009.0,4152.0,5913.0,93.4,94.2,92.8,229.0,288.0,166.0,420.0,331.0,514.0,208.0,204.0,213.0,810.0,890.0,726.0,1123.0,722.0,1545.0,4960.0,4221.0,5739.0,6.5,87.6,21.0,97.1,17.4,95.1,50.0,43.0,58.0,31.0,19.0,74.0,65.0,84.0,44.0,56.0,67.0,81.0
1362.27,1270.16,1463.48,2324.78,2203.57,2457.97,8907.65,8636.96,9205.09,14278.24,13527.95,15102.7,8919.4,7742.0,10213.17,85.3,86.5,84.4,304.91,319.13,289.28,738.41,416.54,1092.09,181.83,236.23,122.05,578.3,646.65,503.2,1265.85,904.93,1662.44,7308.47,6419.29,8285.55,15.3,95.2,13.4,97.5,27.9,94.8,70.58,59.08,82.85,53.27,17.31,106.0,91.0,121.0,57.38,83.78,95.0,116.0
890.0,924.0,857.0,4709.0,4509.0,4905.0,7463.0,7482.0,7445.0,16902.0,16530.0,17266.0,24780.0,21972.0,27521.0,91.3,91.6,91.0,531.0,566.0,496.0,1055.0,1014.0,1096.0,965.0,1070.0,863.0,3879.0,3906.0,3852.0,2488.0,2164.0,2804.0,18047.0,16413.0,19643.0,11.9,46.3,23.2,98.2,49.0,93.8,40.0,39.0,41.0,23.0,17.0,61.0,58.0,64.0,35.0,45.0,56.0,67.0
663.0,623.0,705.0,362.0,357.0,367.0,2124.0,1869.0,2393.0,4453.0,4027.0,4903.0,11921.0,11415.0,12454.0,97.6,97.7,97.6,694.0,878.0,500.0,2252.0,1968.0,2552.0,219.0,270.0,165.0,511.0,548.0,472.0,1372.0,1167.0,1589.0,11478.0,10986.0,11998.0,15.3,87.4,23.7,85.9,28.2,83.9,48.0,43.0,53.0,33.0,15.0,58.0,56.0,60.0,38.0,59.0,48.0,69.0
349.04,357.36,341.24,7326.73,7635.88,7036.57,699.84,625.39,769.71,8698.15,8916.6,8493.13,19145.53,17759.0,20446.86,99.72,99.71,99.73,385.18,443.78,330.19,828.89,425.38,1207.59,232.32,298.34,170.35,495.42,677.87,324.17,3402.74,3500.06,3311.41,16502.71,15736.26,17222.05,7.28,81.56,22.43,98.8,26.15,91.7,87.11,87.5,87.0,59.9,27.21,117.0,112.0,122.0,76.38,97.84,107.0,127.0
580.0,554.0,610.0,2235.0,2257.0,2209.0,5879.0,5517.0,6283.0,9091.0,8701.0,9527.0,6333.0,5806.0,6922.0,78.9,80.3,77.5,89.0,94.0,83.0,475.0,389.0,571.0,341.0,386.0,291.0,1320.0,1486.0,1135.0,717.0,518.0,939.0,4854.0,4578.0,5162.0,15.4,91.9,21.8,97.9,23.1,92.6,53.0,44.0,64.0,31.0,22.0,82.0,73.0,92.0,46.0,60.0,72.0,91.0
